Name,Account,Date,,css-4rbku5 2,css-901oao 5,css-901oao 6,css-4rbku5 4,css-901oao 7,css-901oao 8,css-4rbku5 5,css-4rbku5 6,css-4rbku5 7,css-901oao 14,css-901oao 15,Text,Hashtag
JIRAYUTH Y.,@studio2702,3-เม.ย.-21,โดยปกติแล้ว ไม่มีใครเอาขมิ้นอ้อยมาทำอาหาร จะเจอแต่การเอามาใช้เป็นเครื่องยาเสียเป็นส่วนมาก ในทาง,#เภสัชกรรมไทย,นั้นระบุสรรพคุณของขมิ้นอ้อยกับขมิ้นชันไว้ต่างกันด้วยนะ,มีรสฝาดหวานเอียน ใช้แก้ไข้เพื่อดี แก้ท้องร่วง แก้ธาตุพิการ แก้ผื่นคัน ขับผายลม รักษาแผลในกระเพาะอาหาร ...,,,แสดงเธรดนี้,,,,,,โดยปกติแล้ว ไม่มีใครเอาขมิ้นอ้อยมาทำอาหาร จะเจอแต่การเอามาใช้เป็นเครื่องยาเสียเป็นส่วนมาก ในทางนั้นระบุสรรพคุณของขมิ้นอ้อยกับขมิ้นชันไว้ต่างกันด้วยนะมีรสฝาดหวานเอียน ใช้แก้ไข้เพื่อดี แก้ท้องร่วง แก้ธาตุพิการ แก้ผื่นคัน ขับผายลม รักษาแผลในกระเพาะอาหาร ...แสดงเธรดนี้,#เภสัชกรรมไทย          
CoFact​,@CofactThailand,26-พ.ย.-20,CofactDailyReport,#พริกไทยและสารสกัด,"ข่าวลวง
จริงหรือไม่.?",ช่วยรักษา,#กรดไหลย้อน,ไม่จริง,"เนื่องจากสรรพคุณของขมิ้นชัน และพริกไทย มีไว้บรรเทาอาการท้องอืด ท้องเฟ้อ แน่นท้อง จุกเสียด

อ่านต่อ",,,,Cofact - พื้นที่เปิดให้ทุกคนมาช่วยกันตรวจสอบข่าวลวง,คนใกล้ชิดของคุณ อาจตกเป็นเหยื่อของข่าวลวง หรือ ส่งต่อข่าวลวงบนอินเทอร์เน็ตโดยไม่รู้ตัว,"ข่าวลวง
จริงหรือไม่.?ช่วยรักษาไม่จริงเนื่องจากสรรพคุณของขมิ้นชัน และพริกไทย มีไว้บรรเทาอาการท้องอืด ท้องเฟ้อ แน่นท้อง จุกเสียด

อ่านต่อ พื้นที่เปิดให้ทุกคนมาช่วยกันตรวจสอบข่าวลวงคนใกล้ชิดของคุณ อาจตกเป็นเหยื่อของข่าวลวง หรือ ส่งต่อข่าวลวงบนอินเทอร์เน็ตโดยไม่รู้ตัว",#พริกไทยและสารสกัด  #กรดไหลย้อน        
CoFact​,@CofactThailand,31-ก.ค.-20,CofactDailyReport,#มะเร็ง,"ข่าวลวง 
จริงหรือไม่? จิบน้ำ",ป้องกัน,,"ได้

ไม่จริง","ยังไม่มีรายงานวิจัยที่ทางคลินิกที่ยืนยันสารนี้ช่วยป้องกันหรือรักษามะเร็ง การดื่มน้ำขมิ้นชันไม่เพียงพอ หากยังมีพฤติกรรมเสี่ยง หรือกินอาหารที่ปนเปื้อนสารก่อมะเร็ง

อ่าน",,,,Cofact - พื้นที่เปิดให้ทุกคนมาช่วยกันตรวจสอบข่าวลวง,คนใกล้ชิดของคุณ อาจตกเป็นเหยื่อของข่าวลวง หรือ ส่งต่อข่าวลวงบนอินเทอร์เน็ตโดยไม่รู้ตัว,"ข่าวลวง 
จริงหรือไม่? จิบน้ำป้องกันได้

ไม่จริงยังไม่มีรายงานวิจัยที่ทางคลินิกที่ยืนยันสารนี้ช่วยป้องกันหรือรักษามะเร็ง การดื่มน้ำขมิ้นชันไม่เพียงพอ หากยังมีพฤติกรรมเสี่ยง หรือกินอาหารที่ปนเปื้อนสารก่อมะเร็ง

อ่าน พื้นที่เปิดให้ทุกคนมาช่วยกันตรวจสอบข่าวลวงคนใกล้ชิดของคุณ อาจตกเป็นเหยื่อของข่าวลวง หรือ ส่งต่อข่าวลวงบนอินเทอร์เน็ตโดยไม่รู้ตัว",#มะเร็ง          
Brighttv ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@BrightTodayTh,26-ก.พ.-21,ดูดวง ทำนายฝัน ฝันเห็นสมุนไพร ขมิ้นชัน ฟ้าทะลายโจร บอระเพ็ด,#ดวง,,…,#ดูดวง,,,#ทำนายฝัน,#ฝันเห็นสมุนไพร,#ฟ้าทะลายโจร,ดูดวง ทำนายฝัน ฝันเห็นสมุนไพร ขมิ้นชัน ฟ้าทะลายโจร บอระเพ็ด,ฝันเห็นสมุนไพร ในช่วงนี้ชีวิตของคุณอยู่ในช่วงขาขึ้น ทำอะไรก็ราบรื่นไปหมด มีแต่คนคอยื่นมือมาช่วยเหลือ แต่อาจต้องพบเจอปัญหาจากคนรอบข้าง,ดูดวง ทำนายฝัน ฝันเห็นสมุนไพร ขมิ้นชัน ฟ้าทะลายโจร บอระเพ็ด…ดูดวง ทำนายฝัน ฝันเห็นสมุนไพร ขมิ้นชัน ฟ้าทะลายโจร บอระเพ็ดฝันเห็นสมุนไพร ในช่วงนี้ชีวิตของคุณอยู่ในช่วงขาขึ้น ทำอะไรก็ราบรื่นไปหมด มีแต่คนคอยื่นมือมาช่วยเหลือ แต่อาจต้องพบเจอปัญหาจากคนรอบข้าง,#ดวง  #ดูดวง  #ทำนายฝัน  #ฝันเห็นสมุนไพร  #ฝันเห็นสมุนไพร  #ฟ้าทะลายโจร
ประชาชาติธุรกิจ,@prachachat,9-ส.ค.-18,นักวิจัย มศว ชูผลศึกษาทางคลินิก กิน ‘ขมิ้นชัน’ ลดเสี่ยงเป็นเบาหวาน,#ประชาชาติ,,…,#มศว,,,#เบาหวาน,,,นักวิจัย มศว ชูผลศึกษาทางคลินิก กิน 'ขมิ้นชัน' ลดเสี่ยงเป็นเบาหวาน,เมื่อวันที่ 9 สิงหาคม 2561 ที่โรงแรมดิเอมเมอรัลด์ ผศ.พญ.สมลักษณ์ จึงสมาน อาจารย์ประจำคณะแพทยศาสตร์ มหาวิทยาลัยศรีครินทรวิโรฒ (มศว) กล่าวในงานเสวนา,นักวิจัย มศว ชูผลศึกษาทางคลินิก กิน ‘ขมิ้นชัน’ ลดเสี่ยงเป็นเบาหวาน…นักวิจัย มศว ชูผลศึกษาทางคลินิก กิน 'ขมิ้นชัน' ลดเสี่ยงเป็นเบาหวานเมื่อวันที่ 9 สิงหาคม 2561 ที่โรงแรมดิเอมเมอรัลด์ ผศ.พญ.สมลักษณ์ จึงสมาน อาจารย์ประจำคณะแพทยศาสตร์ มหาวิทยาลัยศรีครินทรวิโรฒ (มศว) กล่าวในงานเสวนา,#ประชาชาติ  #มศว  #เบาหวาน      
ทนายแจม - ศศินันท์ ธรรมนิฐินันท์,@lawyerJammy,8-พ.ค.-21,"วันละซอง ผสมน้ำ 100-150 ml
กระดกดื่มก่อนออกจากบ้าน หรือจิบๆระหว่างวันจ้า ช่วงนี้อะไรก็ได้เผื่อความสบายใจ",#Herbalmix,,,#ชะเอมเทศ,,,#อโรร่าเชอรี่,,,เสริมภูมิคุ้มกันทุกวันกันจ้า,ทานง่าย อร่อย ชุ่มคอ ชงกับน้ำอุ่น หรือเย็นก็ได้,"วันละซอง ผสมน้ำ 100-150 
กระดกดื่มก่อนออกจากบ้าน หรือจิบๆระหว่างวันจ้า ช่วงนี้อะไรก็ได้เผื่อความสบายใจเสริมภูมิคุ้มกันทุกวันกันจ้าทานง่าย อร่อย ชุ่มคอ ชงกับน้ำอุ่น หรือเย็นก็ได้",#Herbalmix  #ชะเอมเทศ  #อโรร่าเชอรี่      
PPTV HD 36,@PPTVHD36,26-มี.ค.-20,อภัยภูเบศรแนะเสริมภูมิคุ้มกันกิน ‘ขมิ้นชันต้ม-ฟ้าทะลายโจร’ แต่ไม่ใช่มะนาวโซดา!,#PPTVHD36,,,#PPTVNews,,,#ช่อง36,#โควิด19,#มะนาวโซดา,อภัยภูเบศรแนะเสริมภูมิคุ้มกันกิน ‘ขมิ้นชันต้ม-ฟ้าทะลายโจร’ แต่ไม่ใช่มะนาวโซดา!,เภสัชกรชำนาญการ รพ.เจ้าพระยาอภัยภูเบศร เผยข้อมูลกินสมุนไพรเสริมภูมิคุ้มกัน   แนะขมิ้นชันต้ม ส่วนกรมแพทย์แผนไทยฯ ศึกษาสารสำคัญฟ้าทะลายโจร,อภัยภูเบศรแนะเสริมภูมิคุ้มกันกิน ‘ขมิ้นชันต้ม-ฟ้าทะลายโจร’ แต่ไม่ใช่มะนาวโซดา!อภัยภูเบศรแนะเสริมภูมิคุ้มกันกิน ‘ขมิ้นชันต้ม-ฟ้าทะลายโจร’ แต่ไม่ใช่มะนาวโซดา!เภสัชกรชำนาญการ รพ.เจ้าพระยาอภัยภูเบศร เผยข้อมูลกินสมุนไพรเสริมภูมิคุ้มกัน   แนะขมิ้นชันต้ม ส่วนกรมแพทย์แผนไทยฯ ศึกษาสารสำคัญฟ้าทะลายโจร,#PPTVHD36  #PPTVNews  #ช่อง36  #โควิด19  #โควิด19  #มะนาวโซดา
Ni New S. Pacaporn,@newpcps,19-ก.ย.-18,?,#การทานขมิ้นชันดีอย่างไร,"เป็นสมุนไพรไทยแท้ๆ พร้อมประโยชน์
เป็นพืชที่มีเหง้าอยู่ใต้ดิน เนื้อของเหง้ามีสีเหลืองเข้มไปจนถึงสีแสด รสชาติที่จัดจ้าน สีสันมีความสวยงาม...",…,,,,,,,,,"?เป็นสมุนไพรไทยแท้ๆ พร้อมประโยชน์
เป็นพืชที่มีเหง้าอยู่ใต้ดิน เนื้อของเหง้ามีสีเหลืองเข้มไปจนถึงสีแสด รสชาติที่จัดจ้าน สีสันมีความสวยงาม...…",#การทานขมิ้นชันดีอย่างไร          
ThaiQuote,@ThaiQuoteORG168,27-ก.พ.-19,“อภัยภูเบศร”แนะ หญ้าดอกขาว ขมิ้นชัน รางจืด มะขามป้อม ฟ้าทลายโจร สมุนไพรดูแลสุขภาพในสถานการณ์ PM2.5,#อภัยภูเบศร,0.5,,#หญ้าดอกขาว,,,#รางจืด,#มะขามป้อม,#ฟ้าทลายโจร,,,“อภัยภูเบศร”แนะ หญ้าดอกขาว ขมิ้นชัน รางจืด มะขามป้อม ฟ้าทลายโจร สมุนไพรดูแลสุขภาพในสถานการณ์ 2.50.5,#อภัยภูเบศร  #หญ้าดอกขาว  #รางจืด  #มะขามป้อม  #มะขามป้อม  #ฟ้าทลายโจร
MGR Quality of Life,@MGROnline_Qol,22-ม.ค.-19,"อภ.เผยปี 62 ลุยปลูกกัญชา ได้สารสกัดใน พ.ค.นี้ ชู ""ขมิ้นชัน"" โปรดักต์แชมเปียน ดันสู่ตลาดโลก จ่อทดสอบวัคซีนไข้หวัดใหญ่กลางปี",#Qol,,…,#MGROnline,,,#องค์การเภสัชกรรม,#กัญชา,#สมุนไพร,,,"อภ.เผยปี 62 ลุยปลูกกัญชา ได้สารสกัดใน พ.ค.นี้ ชู ""ขมิ้นชัน"" โปรดักต์แชมเปียน ดันสู่ตลาดโลก จ่อทดสอบวัคซีนไข้หวัดใหญ่กลางปี…",#Qol  #MGROnline  #องค์การเภสัชกรรม  #กัญชา  #กัญชา  #สมุนไพร
